City,Country,City ID,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
albany,US,19530.0,42.6,-73.97,81.0,39.0,62.0,10.74
loviisa,FI,2004269.0,60.46,26.23,72.0,60.0,0.0,1.01
aklavik,CA,821.0,68.22,-135.01,51.8,57.0,90.0,9.17
tuktoyaktuk,CA,942.0,69.45,-133.04,37.4,93.0,90.0,9.17
hermanus,ZA,2003650.0,-34.42,19.23,54.0,81.0,6.0,7.0
mataura,NZ,2008959.0,-46.19,168.86,39.0,83.0,79.0,3.0
new norfolk,AU,2031307.0,-42.78,147.06,39.99,84.0,56.0,3.04
champerico,GT,7068.0,14.3,-91.92,89.6,59.0,40.0,6.93
yulara,AU,9487.0,-25.24,130.99,42.8,60.0,0.0,5.82
tautira,PF,7318.0,-17.73,-149.15,78.8,69.0,20.0,11.41
nome,US,7770.0,64.5,-165.41,46.4,65.0,90.0,14.99
neuquen,AR,8310.0,-38.95,-68.06,33.8,80.0,75.0,9.17
geraldton,AU,9522.0,-28.77,114.6,57.2,87.0,7.0,12.75
san cristobal,VE,8587.0,7.77,-72.22,89.6,49.0,40.0,24.16
jamestown,US,4588.0,42.1,-79.24,78.01,44.0,20.0,10.29
arya,PK,9721.0,33.6,73.07,82.4,65.0,0.0,9.17
busselton,AU,2011706.0,-33.65,115.33,57.0,87.0,37.0,11.07
sale,MA,2402.0,34.04,-6.82,71.6,68.0,75.0,9.17
peniche,PT,2002665.0,39.36,-9.38,71.01,72.0,0.0,10.0
ushuaia,AR,8303.0,-54.8,-68.3,37.4,69.0,20.0,24.16
payson,US,5442.0,40.04,-111.73,77.0,36.0,40.0,6.93
vaini,TO,7285.0,-21.2,-175.2,71.6,94.0,75.0,5.82
saint-philippe,RE,2127.0,-21.36,55.77,71.6,73.0,62.0,20.8
mali,GN,2433.0,12.08,-12.3,95.0,59.0,40.0,4.7
quatre cocos,MU,2061.0,-20.21,57.76,73.0,83.0,75.0,17.22
kenai,US,7680.0,60.55,-151.26,59.0,66.0,75.0,10.29
callaway,US,5308.0,30.15,-85.57,93.2,59.0,75.0,10.29
alexandria,EG,2511.0,31.22,29.96,77.0,78.0,40.0,9.17
north bend,US,5239.0,43.41,-124.22,75.99,72.0,1.0,13.87
avarua,CK,7271.0,-21.21,-159.78,71.6,73.0,100.0,3.36
hobart,AU,9545.0,-42.88,147.33,39.99,86.0,52.0,10.29
saint-georges,GD,8781.0,12.06,-61.75,87.8,70.0,40.0,17.22
clyde,US,2016547.0,41.3,-82.98,86.0,35.0,100.0,4.0
wilmington,US,4521.0,34.23,-77.94,91.0,38.0,75.0,2.44
sitka,US,7795.0,57.05,-135.33,53.6,87.0,90.0,4.7
nikolskoye,RU,8926.0,59.7,30.79,77.0,47.0,0.0,6.71
kapaa,US,7873.0,22.08,-159.32,80.6,74.0,20.0,9.17
victoria,HK,265999.0,22.29,114.16,82.99,81.0,74.0,3.0
port alfred,ZA,2011314.0,-33.59,26.89,59.0,70.0,7.0,5.01
